from_address,no_day_active,total_tx,avg_hour_act_per_day,avg_hour_freq
0x2f1ffc27f6d95088a9d8d3b7ff09bc39e66a06d9,1,1,1.0,1.0
0x188a2842ff8656873618fc9554a7aa87bfcabeec,2,2,1.0,1.0
0xe1f08d771fb7b248b3266b7f79a9eafba3147c2d,9,228,13.0,1.3333333333333333
0x39ee28ec61a63147fc822b9e40757be530eefa65,4,24,1.0,6.0
0x72e81ed258cc5a0f2f8152e89258abf26daaa9a6,5,9,1.8,1.0
0x731ea79a1b2b90683507da2aab498bd8ff8f7ff1,3,64,11.666666666666666,1.3333333333333333
0x18008a3d4de136e090d0a71cb1de601fc8246225,6,30,3.6666666666666665,1.1666666666666667
0xb76ca487968809fadff12358b21b05584fa86718,1,2,2.0,1.0
0xa622397cfd777766f4b31ee2fdfe733e85c0c6c8,1,1,1.0,1.0
0x498e84899558545a0f6d4036bdb3a3842cf9b6d0,4,21,2.5,1.5
0x545820d5cc05248da112419fefb18522c63c8e12,2,5,1.0,2.5
0xdd4d3ed43e53185f4dbc467151ab2cb3142def52,5,11,1.6,1.2
0xe30000005ba202ac2f005e00009c00e0102d5100,9,78,5.111111111111111,1.2222222222222223
0x00000000000062f06c7007906b2a4034fa5c4818,6,10,1.3333333333333333,1.0
0xb958a8f59ac6145851729f73c7a6968311d8b633,4,7,1.5,1.0
0x4fce027bc57d7530b84527f4848983cece4df15e,9,38,3.5555555555555554,1.0
0xc7ee7c66636f407586afa431c19a916e04928942,9,278,9.444444444444445,2.4444444444444446
0x00000000003b3cc22af3ae1eac0440bcee416b40,9,754,17.666666666666668,4.111111111111111
0x00008a5550ed3cd363607b9d91c68092f20c0e68,7,23,2.7142857142857144,1.0
0x58418d6c83efab01ed78b0ac42e55af01ee77dba,9,931,23.11111111111111,3.888888888888889
0x55eb58655f8202ff839487886fedba2a1eb7b2d7,9,171,8.222222222222221,1.7777777777777777
0xf164fc0ec4e93095b804a4795bbe1e041497b92a,4,4,1.0,1.0
0x000000007cb2bd00ae5eb839930bb7847ae5b039,5,11,2.2,1.0
0x3dd02573a42e8b40af130742f06d7d46655217a4,3,5,1.0,1.6666666666666667
0x00328ca21100054700d065f700a555009c760000,4,5,1.25,1.0
0x0000000000003f5e74c1ba8a66b48e6f3d71ae82,1,2,1.0,2.0
0x0a8e31bb5d8f5b3ff2168a68ebddd095c663fdf3,6,27,2.3333333333333335,1.8333333333333333
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,9,63827,24.0,295.0
0xb63eb840daee054d9971dedfecbe0667a08c51f8,4,10,1.25,2.0
0xd291328a6c202c5b18dcb24f279f69de1e065f70,6,18,2.0,1.3333333333333333
0x2ae0d7d7e9c7880f01e530c731f21d49be179732,8,112,5.375,2.5
0x33334570f7e1df34a09377c7f327feb65e2b3faf,1,22,5.0,4.0
0xc90bffb8955e2d69780de7a43a11cf113d5e476d,4,76,3.75,4.5
0x00000000008c4fb1c916e0c88fd4cc402d935e7d,9,372,11.555555555555555,3.3333333333333335
0x9762b1d716bb97735905996e013d61c140722249,1,2,1.0,2.0
0x3b220e8b4c4947d1dc58a8a2efe5f5bfc2f56e96,1,1,1.0,1.0
0xc75d31784733b3f8458db727eec9226d07a7c8fd,9,166,10.0,1.2222222222222223
0x85e5c6cffd260a7f153b1f34b36f6dbeba3e279e,4,8,1.0,2.0
0x74d8353a2ce55b41828075f406b0e42001bcd00b,2,3,1.0,1.5
0xe37b5e4de6c4c6e3a1b5d914722a7daaf37590d0,9,87,4.444444444444445,1.8888888888888888
