_id,address,addressname,transactioncount,internaltxcount,addresstype
637605c52ae825a9f8877404,0xadb287e1f8405f085c740e791a3914f9b07acae0,Reward: Hashed-Ozys,5,27716877,Contract
637605c52ae825a9f8877405,0xafd197d383453b08b7c1509bdb4b6afee9f66578,Klaytn Reserve 1,29,41,Contract
637605c62ae825a9f887741d,0xc5b67d88c3a26fcee67fc542009d8526f6b4c8a3,Reward: Hi Inc,14,2,External Owned Account
637605c62ae825a9f887741e,0xc5ed2333f8a2c351fca35e5ebadb2a82f5d254c3, Alameda Research 6,20,18,External Owned Account
637605c82ae825a9f887744d,0xfa416ef420b553f6ad622cda922e9d195a8025df,Coinone 2,55,24,External Owned Account
637605ca2ae825a9f8877463,0x962cdb28e662b026df276e5ee7fdf13a06341d68,KLAYstation: FSN,80959,7872419,Contract
637605ca2ae825a9f8877464,0x9b5e406e8c7edb54154ec81de8e3f42e74b5fdf3,CN:FSN,60,1706086,Contract
637605ca2ae825a9f8877465,0xbd2bdd78de340ed82f99120d332acf36dc0a34ea,Reward: FSN 2,68,29,External Owned Account
637605ca2ae825a9f8877468,0xe21ec87edfaa34070455ebd85072e4e3413dbea6,Reward: NFT Bank2,7,735,Contract
637605ca2ae825a9f887746b,0xe81339694c4fcf629606347f4aff0633697d190a,WEMIX EcoFund,14,12,External Owned Account
637605ca2ae825a9f887746c,0xffb11e6e660f76e54cffee6f7eaac36221cc42c4,Reward: Amorepacific 2,8,12,External Owned Account
637605ca2ae825a9f887746d,0x03497f51c31fe8b402df0bde90fd5a85f87aa943,GC:Ahnlab 1,2,0,Consensus Node
637605ca2ae825a9f887746f,0x071086d607198e5e908f6a260adc53a925c0c161,Reward: Gumi,3,0,External Owned Account
637605ca2ae825a9f8877477,0x169a89b74ec6db558a8a344b641d6f0a7e2f14b3,GC:Kakao Entertainment 2,2,0,External Owned Account
637605ca2ae825a9f8877478,0x16c192585a0ab24b552783b4bf7d8dc9f6855c35,GC:Everrich 1,2,0,Consensus Node
637605ca2ae825a9f8877479,0x1782834bf8847e235f21f2c1f13fca4d5dff6621,GC:UBP,2,0,Consensus Node
637605ca2ae825a9f887747a,0x186de0382923086f73367bab16af09aeda4e54bf,Reward: Ground X,185,84,External Owned Account
637605ca2ae825a9f8877481,0x27cbaf98ddfb5c09c787cd6d99a77c5774152b43,GC: Quantstamp,4,0,External Owned Account
637605ca2ae825a9f8877496,0x627ad4cc0a63322575dcf3b65124946e36215377,CN:Gumi,57,81,Contract
637605cb2ae825a9f88774a3,0x980e9dfeaa8ea715e97827bb770fac8b97090ef1,GDAC 1,43172,0,External Owned Account
637605cb2ae825a9f88774a8,0x9e01312837d20d36a18da03b0d1ea5a6cb015e3f,CN:Sygnum,21,40,Contract
637605cc2ae825a9f88774bb,0xcd953813896f766f1eb9b613610e1752ed6f8395,Orbit Bridge ICON Minter,3312,26295,Contract
637605cc2ae825a9f88774c1,0xe36ea146c05757a38ec1493eea8c878677a9c19a,GC: NFT Bank 1,2,0,Consensus Node
637605cc2ae825a9f88774c2,0xe3d92072d8b9a59a0427485a1b5f459271df457c,GC:Hashkey 1,3,0,Consensus Node
637605cc2ae825a9f88774c3,0xe783fc94fddaeebef7293d6c5864cff280f121e1,GC:LX International 1,3,0,Consensus Node
637605cc2ae825a9f88774c6,0xed6ee8a1877f9582858dbe2509abb0ac33e5f24e,GC:Netmable 1,3,0,Consensus Node
637605cc2ae825a9f88774c7,0xf113ec8c22765d485309cf1d025d1b975245b9f8,GC:Kakao Space,4,0,Consensus Node
637605cd2ae825a9f88774d3,0x1111111254fb6c44bac0bed2854e76f90643097d,1inch : Router,25111,128110,Contract
637605cd2ae825a9f88774d7,0x2828b981cfc96ab33505b32e9b4260b84344f3e1,Bithumb 1,96300,3,External Owned Account
637605cd2ae825a9f88774d9,0x37865a44b8cb07b00b29474758bf5b2dc823d3da,Reward: Alameda Research,16,12,External Owned Account
637605cd2ae825a9f88774db,0x4142cfd3244385e6148ba1226213d47077ea3cf7,Krust Joshua,7,0,External Owned Account
637605cd2ae825a9f88774e1,0x53970bc504cbc41c2a0e6460aef7d86655186284,GC:Hashed-Ozys,4,0,Consensus Node
637605cd2ae825a9f88774f3,0xb3b340abf6d9bda0d37ef70b35d0e7cc15407f2e,GC:Everrich 2,2,0,External Owned Account
637605cd2ae825a9f88774f4,0xbaffc1d4b89fdeadb3dfd0c7f84c3fc0ed5d9ac8,Bithumb 4,195503,0,External Owned Account
637605cf2ae825a9f8877503,0xfd1bd6b2660d703b5a6776a5e335da933d3f6563,CN:Hashkey 2,4644,8349,Contract
637605d02ae825a9f8877526,0x4814831d3d4bb854324ed0b370c8306a95cc9e41,GC:Everrich 3,2,0,External Owned Account
637605d02ae825a9f8877529,0x547d56e938958e3259c73677edb51ab80e399d89,UPbit 2,6247,235,External Owned Account
637605d22ae825a9f8877550,0x9951c3f5afa1ae5549371e8722aff25b9e941664,Reward: GS Retail,80,27,External Owned Account
637605d22ae825a9f8877553,0xa2ba8f7798649a778a1fd66d3035904949fec555,GC:Celltrion 1,3,0,Consensus Node
637605d22ae825a9f8877554,0xa75dd0f10573ac58d274b53ee1a281a7a616252e,CN:Verichains/VNG,23,42,Contract
637605d22ae825a9f887755a,0xb40767d69d511bf8f12bf2d7f253f1b40dfe38fe,CN:Celltrion 1,47,67,Contract
